date_COVID,state,positive,negative,pending,hospitalized,death,total,Most_Recent_Date,Data_asof
2020-05-16,PR,2589,,,,122,2589,Old_Data,2020-05-18
2020-05-16,RI,12434,96046,,1403,489,108480,Old_Data,2020-05-18
2020-05-16,SC,8407,101209,,1421,380,109616,Old_Data,2020-05-18
2020-05-16,SD,3959,24217,,304,44,28176,Old_Data,2020-05-18
2020-05-16,TN,17288,302913,,1474,295,320201,Old_Data,2020-05-18
2020-05-16,TX,46999,631472,,,1305,678471,Old_Data,2020-05-18
2020-05-16,UT,7068,159706,,578,78,166774,Old_Data,2020-05-18
2020-05-16,VA,29683,155885,485,5414,1002,186053,Old_Data,2020-05-18
2020-05-16,VI,69,1194,37,,6,1300,Old_Data,2020-05-18
2020-05-16,VT,934,21342,,,53,22276,Old_Data,2020-05-18
2020-05-16,WA,18585,270068,,,992,288653,Old_Data,2020-05-18
2020-05-16,WI,12187,134206,189,2018,453,146582,Old_Data,2020-05-18
2020-05-16,WV,1457,71936,,,64,73393,Old_Data,2020-05-18
2020-05-16,WY,716,15678,,69,7,16394,Old_Data,2020-05-18
2020-05-15,AK,388,32030,,,10,32418,Old_Data,2020-05-18
2020-05-15,AL,11216,134847,,1377,476,146063,Old_Data,2020-05-18
2020-05-15,AR,4463,77066,,520,98,81529,Old_Data,2020-05-18
2020-05-15,AS,0,105,,,0,105,Old_Data,2020-05-18
2020-05-15,AZ,13169,128832,,1629,651,142001,Old_Data,2020-05-18
2020-05-15,CA,74936,1058970,,,3108,1133906,Old_Data,2020-05-18
2020-05-15,CO,20838,97192,,3789,1091,118030,Old_Data,2020-05-18
2020-05-15,CT,36085,119823,,10946,3285,155908,Old_Data,2020-05-18
2020-05-15,DC,6871,27468,,,368,34339,Old_Data,2020-05-18
2020-05-15,DE,7373,30905,,,271,38278,Old_Data,2020-05-18
2020-05-15,FL,43210,565627,1228,7993,1991,610065,Old_Data,2020-05-18
2020-05-15,GA,36681,265193,,6438,1557,301874,Old_Data,2020-05-18
2020-05-15,GU,154,4361,,,5,4515,Old_Data,2020-05-18
2020-05-15,HI,637,38139,,81,17,38776,Old_Data,2020-05-18
2020-05-15,IA,14049,79517,,,336,93566,Old_Data,2020-05-18
2020-05-15,ID,2351,32394,,212,72,34745,Old_Data,2020-05-18
2020-05-15,IL,90369,448233,,,4058,538602,Old_Data,2020-05-18
2020-05-15,IN,26655,138793,,4389,1691,165448,Old_Data,2020-05-18
2020-05-15,KS,7886,53706,,724,172,61592,Old_Data,2020-05-18
2020-05-15,KY,7225,114053,,1887,328,121278,Old_Data,2020-05-18
2020-05-15,LA,33837,219352,,,2448,253189,Old_Data,2020-05-18
2020-05-15,MA,83421,352258,,8314,5592,435679,Old_Data,2020-05-18
